STATE,YEAR,HSS,CPE,IIM,HD,CM,EOH
CO,2018,8.199999809,5.800000191,9.199999809,5.800000191,5.900000095,7.800000191
CT,2018,8.199999809,6.599999905,8.899999619,5.300000191,5.599999905,6.599999905
DC,2018,8.699999809,7.5,8.5,6,6.699999809,6
DE,2018,7.900000095,6.699999809,7.900000095,5.599999905,6.5,6
FL,2018,8.899999619,5,9.100000381,4.300000191,4.900000095,7.199999809
GA,2018,7.800000191,5.199999809,9.100000381,5.5,4.900000095,7.199999809
HI,2018,7.900000095,5.400000095,8.199999809,4.400000095,5.400000095,6.900000095
IA,2018,8.300000191,4.5,9.600000381,4.900000095,7.099999905,7.699999809
ID,2018,7.699999809,5.599999905,9.699999809,4.400000095,4.599999905,6.099999905
IL,2018,8.399999619,4.699999809,9,5,5.900000095,7.599999905
IN,2018,9,4.199999809,8.199999809,4.5,5.099999905,6.800000191
KS,2018,7.800000191,5.400000095,9.5,5.800000191,6.099999905,5.900000095
KY,2018,8.5,4.800000191,9.600000381,4.5,6.099999905,6.599999905
LA,2018,7.400000095,5,8.399999619,3.900000095,4.300000191,6.900000095
MA,2018,9.5,7,8.899999619,4.900000095,6.599999905,7.699999809
MD,2018,9.300000191,6.300000191,9.699999809,4.699999809,6.400000095,7.900000095
ME,2018,7.099999905,6.099999905,8.899999619,5.800000191,6,6.5
MI,2018,9.100000381,4.800000191,9.100000381,4.5,5.699999809,6
MN,2018,8.300000191,6.199999809,8,4.800000191,6.5,7
MO,2018,9.100000381,5,9,5.300000191,6.5,6.699999809
MS,2018,7.5,5.5,9,4.699999809,5.699999809,6
MT,2018,8.199999809,5.5,8.399999619,4.199999809,6.199999809,6.300000191
NC,2018,7.699999809,5.300000191,9.699999809,4.699999809,5.699999809,7.699999809
ND,2018,8.5,6.400000095,9.399999619,4.300000191,6,6.099999905
NE,2018,9.5,5.800000191,9.199999809,5.300000191,6.800000191,6.5
NH,2018,8.399999619,4.800000191,8.899999619,6.800000191,6,7.199999809
NJ,2018,8,5.599999905,8.199999809,5.400000095,6.300000191,7.099999905
NM,2018,8.899999619,4.099999905,8.899999619,3.599999905,4.199999809,6.699999809
NV,2018,8,4.599999905,8.100000381,3.299999952,4.300000191,6.699999809
NY,2018,9.100000381,5.900000095,8.399999619,4.900000095,5.699999809,7.5
OH,2018,6.5,5.099999905,8.5,4.900000095,5.900000095,5.800000191
OK,2018,7.400000095,5.5,9,4.800000191,6,5.900000095
OR,2018,8.5,6,7.900000095,4.900000095,6.400000095,7.800000191
PA,2018,8.5,5.099999905,9,5.300000191,5.800000191,6.699999809
RI,2018,7.599999905,6.800000191,8.399999619,5.900000095,7.300000191,6.400000095
SC,2018,7.699999809,4,9.600000381,5.900000095,6,7.300000191
